INV_NR;KURZTITEL;TITEL;FOTOGRAF;DATIERUNGVON;DATIERUNGBIS;DATIERUNGKONKRET;ORTZEITBESCHREIBUNG;SCHLAGWORT;BESCHREIBUNG_MOTIV;STRASSENNAME_MOTIV;STADTBEZIRK;GEOKOORDINATEN_MOTIV;URL;DATENGEBER;ISIL_DATENGEBER;LIZENZ
F-015005;Aufbau Grenzmauer 75 ;Verspachtelung der Betonsegmente beim Aufbau der Grenzmauer 75 an der Zimmerstraße;Kasperski, Edmund;1976;1976;1976.10.04;Berlin, 4. Oktober 1976;"Aufbau Grenzmauer 75;Bautrupp;Berliner Mauer;Betonschichtmauer;Grenzmauer;Grenzsoldat;Militärpolizei;Mobiler Sicherungszaun;Rohrauflage;US-Militär Berlin";Ein Bautrupp verspachtelt die Betonsegmente der Grenzmauer 75, weitere Arbeiter setzen mit einem Kran die Rohrauflage auf die Betonsegmente der Grenzmauer 75, davor bewachen Grenzsoldaten mit mobilem Sicherungszaun die Arbeit. Daneben steht noch die ältere Betonschichtmauer aus horizontalen massiven Wegeplatten. Auf West-Berliner Seite beobachtet ein US-Militärpolizist die Arbeiten.;Zimmerstraße/Axel-Springer-Straße;"Kreuzberg (West-Berlin);Mitte (Ost-Berlin)";POINT (13.39911 52.50818);http://www.mauer-fotos.de/image/?imageID=015005;Stiftung Berliner Mauer;DE-MUS-736838;https://creativecommons.org/licenses/by-sa/4.0/
F-015006;Aufbau Grenzmauer 75 ;Verspachtelung der Betonsegmente beim Aufbau der Grenzmauer 75 an der Zimmerstraße;Kasperski, Edmund;1976;1976;1976.10.04;Berlin, 4. Oktober 1976;"Aufbau Grenzmauer 75;Bautrupp;Berliner Mauer;Betonschichtmauer;Grenzmauer;Grenzsoldat;Militärpolizei;Mobiler Sicherungszaun;US-Militär Berlin";Ein Bautrupp verspachtelt die Betonsegmente der Grenzmauer 75, weitere Arbeiter setzen mit einem Kran die Aufsatzrolle auf die Betonsegmente der Grenzmauer 75, davor bewachen Grenzsoldaten mit mobilem Sicherungszaun die Arbeit. Daneben steht noch die ältere Betonschichtmauer. Auf West-Berliner Seite beobachtet ein US-Militärpolizist das Geschehen.;Zimmerstraße/Axel-Springer-Straße;"Kreuzberg (West-Berlin);Mitte (Ost-Berlin)";POINT (13.39911 52.50818);http://www.mauer-fotos.de/image/?imageID=015006;Stiftung Berliner Mauer;DE-MUS-736838;https://creativecommons.org/licenses/by-sa/4.0/
F-015010;Aufbau Grenzmauer 75 ;Grenzsoldaten bewachen die Bauarbeiten an der Grenzmauer 75 an der Zimmerstraße Ecke Lindenstraße;Kasperski, Edmund;1976;1976;1976.10.04;Berlin, 4. Oktober 1976;"Anwohner;Aufbau Grenzmauer 75;Berliner Mauer;Grenzmauer;Grenzsoldat;Mobiler Sicherungszaun;Verkehrszeichen";Grenzsoldaten mit mobilem Sicherungszaun bewachen die Bauarbeiten an der Grenzmauer 75 und blicken auf die Lindenstraße (seit 1996 Axel-Springer-Straße), vor einem Hauseingang der Lindenstraße beobachten Anwohner das Geschehen, im Hintergrund sind Wohnhochhäuser der Leipziger Straße zu sehen.;Zimmerstraße/Axel-Springer-Straße;"Kreuzberg (West-Berlin);Mitte (Ost-Berlin)";POINT (13.39911 52.50818);http://www.mauer-fotos.de/image/?imageID=015010;Stiftung Berliner Mauer;DE-MUS-736838;https://creativecommons.org/licenses/by-sa/4.0/
F-015015;Aufbau US-Kontrollhaus;Aufbau des neuen US-Kontrollhauses am Checkpoint Charlie;Kasperski, Edmund;1976;1976;1976.05.20;Berlin, 20. Mai 1976;"Baracke;Berliner Mauer;Französischer Soldat;Kommandoturm (GÜSt);Kran;Lastkraftwagen;Nationalflagge";Ein neues größeres US-Kontrollhaus wird am Checkpoint Charlie aufgebaut, mit einem Kran wurde ein Element mit US-Nationalflagge auf die Straße gesetzt. Ein weiteres Element steht auf einem Tieflader für den Aufbau bereit. Fotografen und Schaulustige beobachten das Geschehen. Im Hintergrund ist der Kommandoturm der Grenzübergangsstelle zu sehen.;Friedrichstraße/Zimmerstraße;"Mitte (Ost-Berlin);Kreuzberg (West-Berlin)";POINT (13.39035 52.50766);http://www.mauer-fotos.de/image/?imageID=015015;Stiftung Berliner Mauer;DE-MUS-736838;https://creativecommons.org/licenses/by-sa/4.0/
F-015035;Britischer Soldat mit Fotoapparat;Britischer Soldat fotografiert den Aufbau der Grenzmauer 75 am Pariser Platz;Kasperski, Edmund;1976;1976;1976.04.12;Berlin, 12. April 1976;"Aufbau Grenzmauer 75;Berliner Mauer;Britischer Soldat;Britisches Militär Berlin;Britisches Militärfahrzeug;Fotoapparat;Jeep;West-Berliner Polizeibeamter";Britischer Soldat fotografiert den Aufbau der Grenzmauer 75 am Pariser Platz. Am Ärmel trägt er das Abzeichen der Berlin Infantry Brigade und das Abzeichen für den Rang eines Corporals. Im Hintergrund steht ein West-Berliner Polizist vor einem VW-Polizeibus. ;Straße des 17. Juni/Ebertstraße;Tiergarten (West-Berlin);POINT (13.37677 52.51631);http://www.mauer-fotos.de/image/?imageID=015035;Stiftung Berliner Mauer;DE-MUS-736838;https://creativecommons.org/licenses/by-sa/4.0/
F-015038;Bauarbeiten Grenzmauer 75 ;Bauarbeiten für den Anschluss der Grenzmauer 75 an die Panzermauer an der Ebertstraße;Kasperski, Edmund;1976;1976;1976.04.12;Berlin, 12. April 1976;"Aufbau Grenzmauer 75;Bautrupp;Berliner Mauer;Grenzsoldat;Kran";Ein Bautrupp führt vorbereitende Bauarbeiten für den Anschluss der Grenzmauer 75 an die Panzermauer an der Ebertstraße durch. Dabei kommen Werkzeuge wie ein Drucklufthammer und Schaufeln zum Einsatz. Dahinter stehen Betonelemente der Grenzmauer 75 und ein Kranfahrzeug für die Bauarbeiten bereit. Grenzsoldaten bewachen das Geschehen.||;Platz des 18. März;"Mitte (Ost-Berlin);Tiergarten (West-Berlin)";POINT (13.3773243427277 52.5162730950322);http://www.mauer-fotos.de/image/?imageID=015038;Stiftung Berliner Mauer;DE-MUS-736838;https://creativecommons.org/licenses/by-sa/4.0/
F-015046;Abbau US-Kontrollhaus;Abtransport des alten US-Kontrollhauses am Checkpoint Charlie;Kasperski, Edmund;1976;1976;1976.05.20;Berlin, 20. Mai 1976;"Baracke;Berliner Mauer;Britischer Soldat;Französischer Soldat;Kamera;Kameramann;Kommandoturm (GÜSt);Militärpolizei;US-Soldat";Das alte US-Kontrollhaus am Checkpoint Charlie wird abgebaut und auf einem Tieflader abtransportiert. Schaulustige, Fotografen, Kameramänner und Offiziere und Militärpolizisten der Westalliierten beobachten das Geschehen. Ein PKW durchquert die Grenzübergangsstelle Friedrichstraße. Im Hintergrund ist der Kommandoturm der Grenzübergangsstelle zu sehen.;Friedrichstraße/Zimmerstraße;"Mitte (Ost-Berlin);Kreuzberg (West-Berlin)";POINT (13.39035 52.50766);http://www.mauer-fotos.de/image/?imageID=015046;Stiftung Berliner Mauer;DE-MUS-736838;https://creativecommons.org/licenses/by-sa/4.0/
F-015050;Aufbau Grenzmauer 75 ;Aufbau der Grenzmauer 75 am Brandenburger Tor;Kasperski, Edmund;1976;1976;1976.04.12;Berlin, 12. April 1976;"Aufbau Grenzmauer 75;Berliner Mauer;Grenzsoldat;Mobiler Sicherungszaun";Zwei Grenzsoldaten bewachen hinter dem mobilem Sicherheitszaun die Bauarbeiten für den Aufbau der Grenzmauer 75 am Brandenburger Tor. In einem Spalt zwischen Betonsegmenten der Grenzmauer 75 ist ein Bautrupp bei Arbeiten an der Panzermauer für den Anschluss an die Grenzmauer 75 zu sehen.;Platz des 18. März;"Tiergarten (West-Berlin);Mitte (Ost-Berlin);";POINT (13.3773243427277 52.5162730950322);http://www.mauer-fotos.de/image/?imageID=015050;Stiftung Berliner Mauer;DE-MUS-736838;https://creativecommons.org/licenses/by-sa/4.0/
F-015057;Abriss alte Grenzmauer;Abriss der alten Grenzmauer an der Bernauer Straße;Kasperski, Edmund;1980;1980;1980.03.18;Berlin, 18. März 1980;"Abweiser (beidseitig);Aufbau Grenzmauer 75;Aussichtsplattform;Berliner Mauer;Betonschichtmauer;Betonverbundmauer;Grenzsoldat;Kran;Passant";"Die alte Betonschichtmauer wird mit einem Kranfahrzeug abgerissen. Zwei Grenzsoldaten beobachten das Geschehen. Dahinter stehen die Betonelemente der Grenzmauer 75, hier noch als provisorische Grenzsperre (""Schnellsperre"") genutzt, aneinandergereiht für den Einbau bereit. Davor ist die noch nicht abgerissene vordere Grenzmauer, die sich hier aus Hausfassadenresten und einer Betonverbundmauer mit Abweisern zusammensetzt, sichtbar. Der Fotograf steht auf einer Aussichtsplattform Bernauer Straße/Wolliner Straße.";Bernauer Straße/Wolliner Straße;"Wedding (West-Berlin);Mitte (Ost-Berlin)";POINT (13.4016 52.53978);http://www.mauer-fotos.de/image/?imageID=015057;Stiftung Berliner Mauer;DE-MUS-736838;https://creativecommons.org/licenses/by-sa/4.0/
F-015063;Mahnmal Ida Siekmann ;Mahnmal und Gedenkkreuz für Ida Siekmann an der Bernauer Straße;Kasperski, Edmund;1980;1980;1980.03.18;Berlin, 18. März 1980;"Berliner Mauer;Fassadenmauer (Bernauer Straße 1965-1980);Gedenkzeichen (Mauertote);Grenzmauer;Mauertoter";Mahnmal und Gedenkkreuz für Ida Siekmann an der Bernauer Straße, die bei der Flucht an diesem Ort verunglückte und das erste bekannte Todesopfer an der Berliner Mauer war. Die Fassadenreste des Hauses, aus dem Ida Siekmann sprang, sind Bestandteil der vorderen Grenzmauer an der Bernauer Straße.;Bernauer Straße/Schwedter Straße;"Wedding (West-Berlin);Mitte (Ost-Berlin)";POINT (13.40432 52.54055);http://www.mauer-fotos.de/image/?imageID=015063;Stiftung Berliner Mauer;DE-MUS-736838;https://creativecommons.org/licenses/by-sa/4.0/
F-015066;Transitstrecke Staaken;Grenzanlagen an der Transitstrecke auf DDR-Gebiet am Bahnhof Staaken;Kasperski, Edmund;1979;1979;1979.12.05;Berlin, 5. Dezember 1979;"Dornenmatte;Gleisanlage;Grenzanlagen;Grenzsoldat;Transitstrecke (Bahn);Wachtturm (Metall)";Gleiskörper der Transitstrecke der Lehrter Bahn auf DDR-Gebiet in Richtung Hannover auf der Höhe Bahnhof Staaken. Die Bahnstrecke zwischen Hamburg und Berlin verlässt hier in Staaken das Stadtgebiet von West-Berlin und verläuft links und rechts flankiert von einer Betonplattenmauern bis zum weiter entfernten Kontrollbahnhof Staaken. In einem Wachtturm beobachten zwei Grenzsoldaten die Gleisanlage.;Finkenkruger Weg/Eichholzbahn;Spandau (West-Berlin);POINT (13.14229 52.53804);http://www.mauer-fotos.de/image/?imageID=015066;Stiftung Berliner Mauer;DE-MUS-736838;https://creativecommons.org/licenses/by-sa/4.0/
F-015068;Wachtturm Bahnhof Staaken;Wachtturm am Finkenkruger Weg nahe Bahnhof Staaken;Kasperski, Edmund;1979;1979;1979.12.05;Berlin, 5. Dezember 1979;"Berliner Mauer;Grenzsoldat;Wachtturm;Wachtturm (Metall)";In einem Wachtturm beobachten zwei Grenzsoldaten die Gleisanlage am Bahnhof Staaken. Die Bahnstrecke zwischen Hamburg und Berlin verlässt in Staaken das Stadtgebiet von West-Berlin. Die Bahnstrecke verläuft hier, links und rechts flankiert von einer Betonplattenmauer, bis zum weiter entfernt gelegenen Kontrollbahnhof auf DDR-Gebiet. Diese Form von stählernen Wachtürmen war selten und vorrangig an Bahnstrecken eingesetzt.;Finkenkruger Weg/Eichholzbahn;Spandau (West-Berlin);POINT (13.14229 52.53804);http://www.mauer-fotos.de/image/?imageID=015068;Stiftung Berliner Mauer;DE-MUS-736838;https://creativecommons.org/licenses/by-sa/4.0/
F-015071;Grenzmauer 75 Friedrich-Ebert-Platz;Grenzmauer 75 am Friedrich-Ebert-Platz auf Höhe Reichstag mit Blick auf den Fernsehturm;Kasperski, Edmund;1983;1983;1983.05.26;Berlin, 26. Mai 1983;"Berliner Mauer;Graffito;Grenzmauer 75";Eine Passantin läuft an der mit Graffiti besprühten Grenzmauer 75 am Friedrich-Ebert-Platz auf Höhe des Reichstags entlang. Auf Ost-Berliner Seite ist durch die Dorotheen-Straße (damals: Clara-Zetkin-Straße) der Fernsehturm zu sehen.;Friedrich-Ebert-Platz;"Mitte (Ost-Berlin);Tiergarten (West-Berlin)";POINT (13.37686 52.5183);http://www.mauer-fotos.de/image/?imageID=015071;Stiftung Berliner Mauer;DE-MUS-736838;https://creativecommons.org/licenses/by-sa/4.0/
F-015074;Grenzanlagen Zimmerstraße;Hochhäuser der Leipziger Straße und die Grenzanlagen an der Zimmerstraße;Kasperski, Edmund;1981;1981;1981.05.12;Berlin, 12. Mai 1981;"Berliner Mauer;Fahrzeugsperre;Grenzanlagen;Grenzstreifen;Hochhaus";Blick vom Axel-Springer-Verlagsgebäude auf die Hochhäuser der Leipziger Straße und einen Teil der Grenzanlagen an der Zimmerstraße. Im Hintergrund sind weitere Teile Ost-Berlins wie z.B. der Fernsehturm zu sehen. Im Grenzstreifen sind in zwei Reihen aufgestellte Fahrzeugsperren zu sehen.;Jerusalemer Straße/Zimmerstraße;"Mitte (Ost-Berlin);Kreuzberg (West-Berlin)";POINT (13.39721 52.50808);http://www.mauer-fotos.de/image/?imageID=015074;Stiftung Berliner Mauer;DE-MUS-736838;https://creativecommons.org/licenses/by-sa/4.0/
F-015079;Grenzmauer Falkenseer Chaussee;Betonplattenmauer am Ende der Falkenseer Chausee ;Kasperski, Edmund;1979;1979;1979.10.15;Berlin, 15. Oktober 1979;"Berliner Mauer;Betonplattenmauer;Grenzhaus;Grenzmauer";Betonplattenmauer am Ende der Falkenseer Chaussee. Hinter der Betonplattenmauer ist ein Hausdach in Falkenhöh (Falkensee) sichtbar.;Falkenseer Chaussee/Spandauer Straße;Spandau (West-Berlin);POINT (13.1473 52.5547);http://www.mauer-fotos.de/image/?imageID=015079;Stiftung Berliner Mauer;DE-MUS-736838;https://creativecommons.org/licenses/by-sa/4.0/
F-015080;Wachtturm Falkenseer Chaussee;Wachtturm hinter Betonplattenmauer an der Falkenseer Chaussee ;Kasperski, Edmund;1979;1979;1979.10.15;Berlin, 15. Oktober 1979;"Berliner Mauer;Grenzmauer;Wachtturm;Wachtturm Typ BT-11";Grenzanlagen am Ende der Falkenseer Chaussee. Hinter der Betonplattenmauer in der Grenzanlage ist ein Wachtturm zu sehen, der den gesamten Grenzstreifen überblickt. Vor der Betonplattenmauer stehen Stacheldrahtzäune als Teil der älteren Grenzanlagen.;Falkenseer Chaussee/Spandauer Straße;Spandau (West-Berlin);POINT (13.1473 52.5547);http://www.mauer-fotos.de/image/?imageID=015080;Stiftung Berliner Mauer;DE-MUS-736838;https://creativecommons.org/licenses/by-sa/4.0/
F-015086;Grenzübergangsstelle Sonnenallee;Pkw durchquert Grenzübergangsstelle Sonnenallee;Kasperski, Edmund;1979;1979;1979.12.06;Berlin, 6. Dezember 1979;"Berliner Mauer;Grenzverkehr;Grenzübergangsstelle (GÜSt);PKW;Warnschild";Grenzübergangstelle Sonnenallee mit Hinweisschild, dass der Übergang nur für Personen des grenzüberschreitenden Verkehrs gestattet ist. Ein Mercedes verlässt auf der PKW-Spur die Grenzübergangsstelle Richtung West-Berlin.;Sonnenallee/Fritzi-Massary-Straße;"Treptow (Ost-Berlin);Neukölln (West-Berlin)";POINT (13.47653 52.46229);http://www.mauer-fotos.de/image/?imageID=015086;Stiftung Berliner Mauer;DE-MUS-736838;https://creativecommons.org/licenses/by-sa/4.0/
F-015093;Grenzmauer 75 Sonnenallee;Ost-Berliner Häuser hinter der Grenzmauer 75 an der Sonnenallee;Kasperski, Edmund;1979;1979;1979.12.06;Berlin, 6. Dezember 1979;"Berliner Mauer;Brache;Grenzhaus;Grenzmauer 75";Ost-Berliner Häuser hinter der Grenzmauer 75 an der Sonnenallee.;Sonnenallee/Heidekampweg;"Treptow (Ost-Berlin);Neukölln (West-Berlin)";POINT (13.4805250167847 52.4611086085182);http://www.mauer-fotos.de/image/?imageID=015093;Stiftung Berliner Mauer;DE-MUS-736838;https://creativecommons.org/licenses/by-sa/4.0/
F-015094;Checkpoint Charlie;Checkpoint Charlie in der Weihnachtszeit;Kasperski, Edmund;1978;1978;1978.12.20;Berlin, 20. Dezember 1978;"Berliner Mauer;Kommandoturm (GÜSt);Kontrollhaus;Nationalflagge;PKW;Sektorenschild;Weihnachten";Checkpoint Charlie in der Weihnachtszeit. Auf dem Kontrollhaus steht vor der US-Fahne ein Weihnachtsbaum. Ein Auto durchquert die Grenzübergangsstelle von Ost-Berlin kommend. Ein Schild weist auf das Verlassen des Amerikanischen Sektors hin. An der Grenzübergangsstelle ist der Kommandoturm zu sehen.;Friedrichstraße/Zimmerstraße;"Kreuzberg (West-Berlin);Mitte (Ost-Berlin)";POINT (13.39035 52.50766);http://www.mauer-fotos.de/image/?imageID=015094;Stiftung Berliner Mauer;DE-MUS-736838;https://creativecommons.org/licenses/by-sa/4.0/
F-015098;Sektorenschild Eiskeller;Sektorenschild und Betonplattenmauer an der Zufahrtsstraße zur Exklave Eiskeller;Kasperski, Edmund;1980;1980;1980.01.18;Berlin, 18. Januar 1980;"Berliner Mauer;Exklave Eiskeller;Grenzhaus;Grenzmauer;Sektorenschild";Sektorenschild mit den Hinweis, dass hier an der Zufahrtsstraße zur Exklave Eiskeller der Britische Sektor endet. Dahinter ist die Betonplattenmauer am Außenring sichtbar. Eiskeller war eine West-Berliner Exklave auf DDR-Gebiet und nur durch eine Zufahrtsstraße mit Spandau verbunden.;Eiskellerweg/Schönwalder Allee;Spandau (West-Berlin);POINT (13.1541 52.5957);http://www.mauer-fotos.de/image/?imageID=015098;Stiftung Berliner Mauer;DE-MUS-736838;https://creativecommons.org/licenses/by-sa/4.0/
F-015104;Aufbau Grenzmauer 75;Aufbau der Grenzmauer 75 an der Zimmerstraße;Kasperski, Edmund;1977;1977;1977.11.21;Berlin, 21. November 1977;"Aufbau Grenzmauer 75;Bautrupp;Berliner Mauer;Grenzsoldat;Kran;Mobiler Sicherungszaun";Die abgerissenen Reste der alten Grenzmauer werden von einem Bautrupp mit Hilfe eines Krans auf ein Baufahrzeug geladen, um einen weiteren Teil der Grenzmauer 75 aufzubauen. Ein Teil der Grenzmauer 75 ist bereits fertig gestellt. Grenzsoldaten hinter dem mobilen Sicherheitszaun beobachten das Geschehen.  ;Zimmerstraße/Axel-Springer-Straße;"Mitte (Ost-Berlin);Kreuzberg (West-Berlin)";POINT (13.39911 52.50818);http://www.mauer-fotos.de/image/?imageID=015104;Stiftung Berliner Mauer;DE-MUS-736838;https://creativecommons.org/licenses/by-sa/4.0/
F-015118;Aufbau Grenzmauer 75;Grenzsoldaten an der Zimmerstraße beim Abriss der Betonschichtnmauer;Kasperski, Edmund;1977;1977;1977.11.21;Berlin, 21. November 1977;"Aufbau Grenzmauer 75;Berliner Mauer;Betonschichtmauer;Grenzsoldat;Kran;Mobiler Sicherungszaun";Ein Grenzsoldat zieht hinter dem mobilen Sicherheitszaun ein Band. Zwei weitere Grenzsoldaten beobachten die vorbereitenden Bauarbeiten für den Aufbau der Grenzmauer 75. Neben den Grenzsoldaten sind Reste der Betonschichtmauer erkennbar, die von einem Kranfahrzeug abgerissen werden. Im Hintergrund sind aufgereihte Höckersperren in der Grenzanlage und die Hochhäuser der Leipziger Straße in Ost-Berlin zu sehen.;Zimmerstraße/Axel-Springer-Straße;"Mitte (Ost-Berlin);Kreuzberg (West-Berlin)";POINT (13.39911 52.50818);http://www.mauer-fotos.de/image/?imageID=015118;Stiftung Berliner Mauer;DE-MUS-736838;https://creativecommons.org/licenses/by-sa/4.0/
